StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       01,      00,   197805,    8.2,     70,   1.39,   1.39,   4.16,   1.39,    165,     34,   1.91,   1.01,    .34,   -.35,    .74,    .41,    .11,   58.4,   81.6,
       01,      00,   197806,   5.06,     78,   1.56,   1.56,    .94,   1.56,    372,      0,    .53,   1.53,    .97,     .1,    .36,    .69,    .12,   66.6,   89.3,
       01,      00,   197807,    4.3,   80.7,   -.33,   1.06,     -1,    .47,    477,      0,   -.52,    .01,   1.05,   -.43,   -.02,    .58,    .09,   69.4,   92.1,
       01,      00,   197808,   4.07,   79.3,   -.37,    .88,   -.22,    .12,    436,      0,   -.14,   -.56,   -.15,    .08,   -.44,    .56,    .14,   68.4,   90.2,
       01,      00,   197809,      2,   76.9,  -1.07,  -1.07,  -2.21,  -1.07,    345,      1,   -.93,    -.9,  -1.08,    .12,    -.4,   -.09,      0,   65.2,   88.6,
       01,      00,   197810,    .46,   62.2,  -1.72,  -1.72,   -2.3,  -1.72,     50,    166,  -1.71,  -1.73,  -1.52,   -.17,  -1.11,   -.61,   -.25,   46.8,   77.6,
       01,      00,   197811,    3.3,   59.2,  -1.99,  -1.99,  -1.33,  -1.99,     30,    228,   -.05,  -1.05,  -1.35,   -1.2,   -.66,  -1.03,   -.34,   46.1,   72.3,
       01,      00,   197812,    5.3,   46.6,  -1.87,  -1.87,   -.26,  -1.87,      3,    596,     .2,      0,   -.76,  -1.34,   -.34,   -.71,   -.22,     34,   59.2,
       01,      00,   197901,   7.68,   37.8,     .9,   -.78,    2.7,    .57,      1,    877,   1.28,    .93,    .63,   -.46,    .25,   -.61,    .02,   27.8,   47.8,
       01,      00,   197902,   6.61,   43.6,   1.31,   1.31,   1.51,   1.31,      1,    629,    .78,   1.42,   1.17,   -.03,    -.2,      0,    .28,   33.8,   53.4,
       01,      00,   197903,   6.64,   55.8,   1.23,   1.23,    .18,   1.23,     22,    335,    .36,    .67,    1.2,    .38,    -.2,    .35,   -.02,   42.6,   68.9,
       01,      00,   197904,  10.89,   63.6,   2.68,   2.68,   4.72,   2.68,     52,    119,   2.14,    1.7,   1.77,   1.67,     .9,   1.25,     .6,   52.2,   75.1,
       01,      00,   197905,   4.37,   69.5,   2.54,   2.54,    .41,   2.54,    154,     34,     .2,    1.8,   1.53,   1.81,    .91,    .75,    .81,   58.2,   80.7,
       01,      00,   197906,   2.63,   75.2,   1.93,   1.93,  -1.06,   1.41,    295,      0,  -1.01,   -.49,   1.14,   1.51,    .89,    .39,    .75,   63.6,   86.8,
       01,      00,   197907,   7.56,     79,   2.42,   2.42,   2.08,   2.42,    416,      0,   1.19,    .31,    .27,   1.45,   1.53,    .82,      1,   69.5,   88.4,
       01,      00,   197908,   4.19,   78.4,   2.32,   2.32,    .45,   2.32,    400,      0,   -.06,     .8,    .15,   1.28,   1.64,    .84,    .96,   67.3,   89.6,
       01,      00,   197909,   7.43,   72.6,    3.4,    3.4,   3.95,    3.4,    219,     12,    1.7,    1.4,   1.69,   1.97,   2.13,   1.52,    .96,   63.3,   81.9,
       01,      00,   197910,   1.56,   62.4,   2.98,   2.98,   -.21,   2.83,     53,    153,   -.65,    .87,    .69,     .6,   1.61,   1.67,     .7,   48.1,   76.7,
       01,      00,   197911,    5.8,   52.8,   3.41,   3.41,    2.2,   3.41,      4,    394,   1.02,    .36,    1.1,    .95,   1.64,    1.9,    .64,   39.8,   65.8,
       01,      00,   197912,   2.56,   45.6,   2.42,   2.42,  -1.91,    1.6,      1,    626,  -1.42,   -.09,   -.48,    .78,   1.28,   1.57,    .73,   33.7,   57.6,
       01,      00,   198001,    5.5,   46.7,   2.27,   2.27,     .3,   1.53,     12,    616,    .34,   -.69,    .01,    .41,    .46,   1.33,    .56,   37.6,   55.8,
       01,      00,   198002,   2.45,   42.7,   1.32,   1.32,  -2.15,   -.27,      1,    659,  -1.52,   -.83,  -1.46,   -.04,   -.04,    .89,    .61,   30.8,   54.7,
       01,      00,   198003,  13.81,   52.6,   3.26,   3.26,   6.22,   3.26,     13,    429,   2.46,   1.46,    1.4,    .68,   1.46,   1.71,   1.53,     41,   64.2,
       01,      00,   198004,   7.65,   60.6,   3.74,   3.74,   2.45,   3.74,     24,    171,    1.2,   2.45,   1.72,   1.28,   1.51,   1.37,   1.91,   47.5,   73.7,
       01,      00,   198005,   7.07,   70.2,   4.35,   4.35,   2.99,   4.35,    170,     28,   1.46,   1.68,   2.62,   1.43,   1.83,    1.7,   1.83,   59.2,   81.1,
       01,      00,   198006,   3.26,   77.4,   -.26,   3.64,   -.77,   3.29,    354,      0,   -.49,    .67,   1.16,   1.65,   1.14,   1.83,   1.66,   65.4,   89.4,
       01,      00,   198007,   2.96,   82.6,  -1.23,   2.27,  -3.01,    .72,    544,      0,  -1.95,  -1.61,    -.1,   1.21,    .98,   1.18,   1.49,   70.5,   94.8,
       01,      00,   198008,   2.51,   81.5,  -2.11,   1.03,     -3,  -1.58,    507,      0,  -1.34,  -1.96,  -2.08,   1.44,    .45,    .96,    1.3,   69.1,     94,
       01,      00,   198009,   5.18,   78.1,  -1.82,      1,    .21,  -1.37,    371,      0,    .82,   -.15,   -.97,    .36,   1.06,    .66,   1.55,   65.9,   90.3,
       01,      00,   198010,   3.77,   60.2,  -1.32,    1.2,    .93,   -.73,     32,    202,    .61,    .86,    .16,   -.03,   1.14,    .97,   1.83,     47,   73.5,
       01,      00,   198011,   3.17,     52,  -1.38,    .88,    -.6,  -1.11,      3,    412,   -.12,    .22,    .53,   -.81,   1.42,    .64,    1.8,   39.9,   64.1,
       01,      00,   198012,   1.15,     45,  -2.36,  -2.36,  -3.34,  -2.36,      2,    650,  -3.08,  -2.01,  -1.11,   -1.5,   -.31,    .48,    1.5,     32,     58,
       01,      00,   198101,   1.33,   39.5,  -3.23,  -3.23,  -3.35,  -3.23,      1,    819,  -2.68,  -3.09,  -2.62,  -1.71,  -1.55,   -.02,    .95,   26.8,   52.2,
       01,      00,   198102,   6.64,   47.2,  -2.45,  -2.45,   1.35,  -1.85,      3,    526,    .79,   -.82,  -1.94,   -.97,  -1.98,     .5,    .98,     35,   59.5,
       01,      00,   198103,   5.71,   52.2,  -2.28,  -2.28,   -.25,  -1.73,     11,    433,      0,    .41,   -.65,  -1.23,  -1.57,    -.6,    .87,   38.5,     66,
       01,      00,   198104,   2.95,   66.8,  -2.75,  -2.75,  -2.11,  -2.75,    100,     58,   -.77,   -.54,    -.1,  -1.65,  -1.37,  -1.32,     .1,   53.7,     80,
       01,      00,   198105,   3.87,   67.3,  -2.41,  -2.41,    .16,  -2.28,    110,     58,   -.07,   -.65,   -.53,  -1.52,  -1.02,  -1.74,    .03,   54.5,     80,
       01,      00,   198106,   3.46,   79.9,  -2.49,  -2.49,   -.98,  -2.49,    429,      0,   -.36,   -.37,   -.77,   -.96,  -1.34,   -1.6,    .05,   68.7,   91.1,
       01,      00,   198107,   3.85,   81.4,  -2.93,  -2.93,  -2.08,  -2.93,    496,      0,   -.89,   -.91,    -.8,   -.57,   -1.7,  -1.48,   -.29,   69.8,     93,
       01,      00,   198108,   4.78,   78.3,  -2.54,  -2.54,    .25,  -2.38,    397,      0,    .32,   -.45,   -.62,   -.86,   -1.6,   -1.2,   -.25,   67.6,   88.9,
       01,      00,   198109,   2.07,   71.5,  -2.79,  -2.79,  -1.53,  -2.79,    192,     18,   -.88,   -.53,   -.95,  -1.24,  -1.29,   -1.6,   -.66,     58,   84.9,
       01,      00,   198110,   3.11,   61.8,  -2.42,  -2.42,    .25,  -2.25,     48,    166,     .3,   -.45,   -.33,   -.84,    -.7,  -1.79,   -.53,   49.5,   74.2,
       01,      00,   198111,   1.75,   54.8,  -2.91,  -2.91,  -2.21,  -2.91,      9,    337,   -1.2,   -.54,   -.91,  -1.24,   -1.3,  -2.06,   -.86,   40.7,   68.8,
       01,      00,   198112,   6.28,   43.1,    .25,  -2.36,    .74,  -1.99,      1,    706,    .62,   -.21,   -.11,   -.77,  -1.09,  -1.25,   -.53,   32.8,   53.5,
       01,      00,   198201,    6.5,   42.9,     .7,  -1.64,   1.42,   -.64,      5,    730,     .8,    .87,    .19,   -.11,   -.56,   -.48,   -.45,   31.4,   54.4,
       01,      00,   198202,   7.67,   48.4,   1.35,   -.74,   2.19,   1.13,      4,    503,   1.23,   1.39,   1.39,    .38,   -.07,   -.39,    .02,   37.2,   59.6,
       01,      00,   198203,   2.95,   58.5,     .2,  -1.69,  -3.06,  -1.01,     39,    270,  -1.34,    -.1,    .26,    .07,   -.44,   -.76,  -1.01,     47,     70,
       01,      00,   198204,   7.57,   60.4,    .98,   -.71,    2.4,    .81,     27,    195,   1.18,    .02,    .56,    .49,    .24,   -.13,  -1.02,     49,   71.9,
