,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
33,       08,      00,   195210,   6.26,   70.6,   1.04,   -.65,   3.12,    .89,    262,     13,   1.29,    .87,    .97,   -.42,    .04,    .06,   -.71,   61.1,     80,0
34,       08,      00,   195211,   1.18,   63.4,   -.29,   -.88,   -.88,    .22,    119,     84,   -.89,    .68,    .44,    -.7,   -.63,   -.44,   -.66,     52,   74.8,0
35,       08,      00,   195212,   1.43,   56.6,   -.55,  -1.08,   -.87,   -.35,     49,    228,   -.91,  -1.28,    .12,   -.16,   -.96,   -.64,   -.81,   44.6,   68.6,0
36,       08,      00,   195301,   3.25,   58.5,   -.34,   -.81,    .48,    .12,     74,    209,    .32,   -.31,   -.66,    .31,   -.82,   -.32,   -.55,   47.3,   69.8,0
37,       08,      00,   195302,   3.27,   61.4,   -.34,   -.76,    -.1,    .12,    100,    128,    .16,    .23,   -.21,     .1,   -.76,    -.7,   -.36,   50.5,   72.3,0
38,       08,      00,   195303,   2.99,   67.3,   -.71,  -1.09,  -1.22,   -.57,    172,     47,   -.18,    -.1,    .02,    .07,   -.14,   -.78,   -.39,   55.7,   78.9,0
39,       08,      00,   195304,   6.54,   69.1,   1.28,   1.28,   3.85,   1.28,    191,     15,   2.02,   1.09,    .94,    .26,    .71,   -.14,   -.11,   57.3,   80.8,0
40,       08,      00,   195305,    1.4,     78,  -1.08,  -1.08,  -3.24,  -1.08,    415,      0,  -1.62,    .46,    .15,   -.06,    .13,   -.55,   -.28,   66.1,   89.9,0
41,       08,      00,   195306,   7.95,   80.3,    .12,   -.85,    .36,    -.5,    457,      0,    .52,    -.5,    .61,    .37,    .33,    .13,    .06,   70.5,     90,0
42,       08,      00,   195307,   7.36,   81.3,   -.15,   -.91,   -.45,   -.76,    508,      0,    .01,    .35,    -.5,    .32,    -.1,    .36,   -.05,   71.6,     91,0
43,       08,      00,   195308,   9.68,   80.7,    .92,    .92,   2.76,    .92,    501,      0,   1.36,      1,      1,    .79,    .47,    .59,     .4,   71.6,   89.9,0
44,       08,      00,   195309,  10.39,   78.5,   2.19,   2.19,   4.09,   2.19,    433,      0,   1.61,   1.94,   1.61,   1.62,   1.34,   1.15,    .75,     70,   87.1,1
45,       08,      00,   195310,   5.04,   70.9,   2.64,   2.64,   2.01,   2.64,    230,      8,    .77,   1.68,   1.99,   1.26,    1.5,   1.04,     .8,   60.8,   80.9,1
46,       08,      00,   195311,   3.48,   63.5,   3.03,   3.03,   1.99,   3.03,    122,     82,    .98,   1.11,   1.95,   1.93,   1.69,   1.36,    .71,   53.5,   73.5,0
47,       08,      00,   195312,   5.98,   60.2,   4.16,   4.16,   4.34,   4.16,     97,    151,   1.86,   1.84,   1.89,    2.4,   2.52,   2.07,   1.07,   50.4,   69.9,0
48,       08,      00,   195401,    .96,   59.6,    -.7,   3.03,   -2.1,   2.17,     98,    181,  -1.41,    .65,     .9,    2.2,   1.68,   1.84,   1.05,   48.1,   71.2,0
49,       08,      00,   195402,      2,   60.6,   -1.1,   2.25,  -1.42,    .81,     74,    150,   -.75,  -1.42,    .12,   1.43,   1.74,   1.55,    .66,   48.2,     73,0
50,       08,      00,   195403,   2.49,   62.1,   -1.3,    1.7,   -.94,   -.06,     81,    116,   -.48,   -.84,  -1.29,    .38,    1.3,   1.38,    .52,   50.3,   73.9,0
51,       08,      00,   195404,   3.66,   72.8,  -1.16,   1.53,    .01,   -.17,    263,      2,    .49,   -.09,   -.47,    .24,    1.4,   1.02,    .67,   61.8,   83.9,0
52,       08,      00,   195405,   4.38,   73.6,   -.72,    1.7,    .98,    .37,    312,      1,    .38,     .5,    .03,    .06,   1.07,   1.42,     .7,   62.2,   85.1,0
53,       08,      00,   195406,   5.71,   80.2,   -.92,   1.25,   -.82,    -.3,    451,      0,   -.59,   -.23,   -.04,   -.93,    .23,   1.11,    .91,   69.6,   90.8,0
54,       08,      00,   195407,   7.63,   81.3,   -.74,    1.2,    .24,   -.21,    499,      0,    .18,   -.44,   -.18,   -.49,    .06,   1.16,   1.19,   71.6,   91.1,0
55,       08,      00,   195408,   4.67,   82.9,  -1.61,  -1.61,  -2.82,  -1.61,    552,      0,  -1.92,  -1.05,  -1.17,   -.81,   -.65,    .39,    .77,   72.3,   93.6,0
56,       08,      00,   195409,   6.33,   80.3,  -1.67,  -1.67,   -.67,  -1.67,    467,      0,    .04,     -1,    -.7,   -.56,  -1.19,   -.17,    .78,   70.7,     90,0
57,       08,      00,   195410,   2.85,   71.1,  -1.72,  -1.72,   -.69,  -1.72,    249,      8,   -.39,   -.31,  -1.18,   -.94,  -1.05,   -.51,    .42,   60.1,   82.1,0
58,       08,      00,   195411,   2.45,   61.4,  -1.41,  -1.41,    .41,  -1.14,     85,    114,    .25,   -.28,   -.27,  -1.06,   -.81,   -.68,    .54,     50,   72.7,0
59,       08,      00,   195412,   1.88,   55.2,  -1.38,  -1.38,   -.33,  -1.19,     35,    261,   -.47,   -.21,   -.54,  -1.03,    -.8,  -1.39,    .58,   42.6,   67.7,0
60,       08,      00,   195501,   2.74,   56.2,  -1.18,  -1.18,    .17,   -.84,     57,    249,      0,   -.34,   -.18,  -1.13,  -1.02,  -1.11,    .53,   44.2,   68.1,0
61,       08,      00,   195502,   2.04,   60.1,  -1.48,  -1.48,  -1.26,  -1.48,     77,    153,   -.72,   -.53,   -.66,   -.69,  -1.29,  -1.05,    .42,   48.6,   71.6,0
62,       08,      00,   195503,   1.55,   65.7,  -2.11,  -2.11,  -2.34,  -2.11,    133,     68,  -1.14,  -1.26,   -.98,  -1.01,  -1.43,  -1.16,    .27,   53.5,   77.9,0
63,       08,      00,   195504,   2.57,     71,   -2.2,   -2.2,   -.93,   -2.2,    212,      6,   -.22,   -.95,  -1.16,   -.89,  -1.45,  -1.36,   -.15,     59,     83,0
64,       08,      00,   195505,   3.08,   76.3,  -2.44,  -2.44,   -1.4,  -2.44,    357,      0,   -.35,    -.5,  -1.02,  -1.13,  -1.07,   -1.5,      0,   63.8,   88.8,0
65,       08,      00,   195506,   6.46,   77.9,  -2.28,  -2.28,   -.26,  -2.28,    400,      0,   -.19,   -.43,   -.55,  -1.09,  -1.15,  -1.43,   -.19,   66.6,   89.2,0
66,       08,      00,   195507,   7.13,   80.5,  -2.24,  -2.24,    -.6,  -2.24,    481,      0,   -.15,   -.34,   -.51,  -1.19,   -1.1,   -1.5,   -.24,   70.6,   90.3,0
67,       08,      00,   195508,   5.38,   81.8,  -2.83,  -2.83,  -2.45,  -2.83,    528,      0,  -1.24,   -.94,   -.85,  -1.32,  -1.44,  -1.38,    -.7,   71.9,   91.7,0
68,       08,      00,   195509,   6.01,   80.2,  -2.91,  -2.91,  -1.12,  -2.91,    471,      0,   -.11,   -.83,   -.73,   -.92,  -1.33,  -1.41,  -1.25,   70.9,   89.4,0
69,       08,      00,   195510,   2.92,     71,  -2.89,  -2.89,   -.84,  -2.89,    248,      9,   -.34,    -.4,     -1,  -1.08,  -1.55,   -1.5,  -1.57,   59.9,     82,0
70,       08,      00,   195511,   1.21,   63.2,  -3.18,  -3.18,  -1.78,  -3.18,    112,     87,   -.86,   -.88,   -.78,  -1.21,  -1.56,  -1.66,  -1.81,   50.9,   75.4,0
71,       08,      00,   195512,   1.31,   58.7,  -3.65,  -3.65,  -2.38,  -3.65,     79,    177,  -1.04,  -1.34,  -1.32,  -1.62,  -1.46,  -1.84,  -2.31,   47.9,   69.5,0
72,       08,      00,   195601,   2.36,     53,  -3.39,  -3.39,   -.36,  -3.39,     30,    326,   -.26,   -.83,  -1.11,  -1.63,  -1.56,   -1.9,  -2.15,   40.4,   65.5,0
73,       08,      00,   195602,   2.56,     64,  -3.54,  -3.54,   -1.5,  -3.54,    123,     98,   -.33,   -.46,   -.82,  -1.14,  -1.48,  -1.74,  -2.15,   52.9,   75.1,0
74,       08,      00,   195603,   1.36,   63.2,  -3.97,  -3.97,  -2.37,  -3.97,     98,     97,  -1.29,   -1.1,     -1,  -1.49,  -1.89,  -1.77,   -2.3,   50.2,   76.2,0
75,       08,      00,   195604,   2.69,     68,  -3.69,  -3.69,   -.38,  -3.69,    151,     19,   -.13,   -.99,     -1,  -1.32,   -1.7,  -1.75,  -2.58,   55.6,   80.3,0
76,       08,      00,   195605,   3.73,   76.6,  -3.56,  -3.56,   -.76,  -3.56,    376,      0,    .03,   -.16,   -.83,  -1.09,  -1.29,  -1.56,  -2.43,   65.2,   87.8,0
77,       08,      00,   195606,    5.2,   78.7,  -3.72,  -3.72,  -1.57,  -3.72,    422,      0,   -.88,   -.66,   -.71,  -1.21,  -1.56,  -1.81,  -2.39,   67.7,   89.6,0
